Total scored: 199 | Eligible: 139

TICKER     COMPANY                          STRATEGY  SCORE STARS
UI         Ubiquiti Inc                     JOKER      63.4 ★★★☆☆
G6O        GeoPark Ltd                      QUEEN      62.7 ★★★☆☆
EXEL       Exelixis Inc                     JOKER      62.5 ★★★☆☆
ALSN       Allison Transmission Holdings I  QUEEN      62.0 ★★★☆☆
HD8        Harju Elekter Group              ACE        61.9 ★★★☆☆
SOC        Subsea 7 SA                      JOKER      61.8 ★★★☆☆
ETX        Etablissements Maurel & Prom     JACK       61.1 ★★★☆☆
MAU        Etablissements Maurel & Prom     JACK       61.0 ★★★☆☆
TIMA       ZEAL Network SE                  QUEEN      60.2 ★★★☆☆
OSPN       OneSpan Inc                      QUEEN      59.4 ★★★☆☆
LMAT       LeMaitre Vascular Inc            JOKER      59.3 ★★★☆☆
JNJ        Johnson & Johnson                QUEEN      59.1 ★★★☆☆
IEX        IDEX Corp                        QUEEN      58.7 ★★★☆☆
UCB        UCB SA                           JOKER      58.7 ★★★☆☆
AGYS       Agilysys Inc                     QUEEN      58.6 ★★★☆☆
VH2        Friedrich Vorwerk Group SE       JOKER      58.3 ★★★☆☆
AMD        Advanced Micro Devices Inc       JOKER      58.2 ★★★☆☆
MU         Micron Technology Inc            JOKER      58.0 ★★★☆☆
COLM       Columbia Sportswear Co           KING       57.8 ★★★☆☆
IESC       IES Holdings Inc                 JOKER      57.7 ★★★☆☆
COCO       The Vita Coco Co Inc             JOKER      57.7 ★★★☆☆
DOV        Dover Corp                       QUEEN      57.5 ★★★☆☆
PFE        Pfizer Inc                       QUEEN      57.4 ★★★☆☆
41L        Laboratorios Farmaceuticos Rovi  ACE        57.3 ★★★☆☆
GOOG       Alphabet Inc                     JOKER      57.0 ★★★☆☆
ROVI       Laboratorios Farmaceuticos Rovi  ACE        56.9 ★★★☆☆
ITW        Illinois Tool Works Inc          QUEEN      56.8 ★★★☆☆
MWA        Mueller Water Products Inc       QUEEN      56.6 ★★★☆☆
JEN        Jensen-Group NV                  JACK       56.5 ★★★☆☆
GMED       Globus Medical Inc               JOKER      56.5 ★★★☆☆
DELL       Dell Technologies Inc            JOKER      56.1 ★★★☆☆
PLEJD      Plejd                            JOKER      55.8 ★★★☆☆
XD1        Jensen-Group NV                  JACK       55.7 ★★★☆☆
CEK        CeoTronics AG                    JOKER      55.6 ★★★☆☆
ELG        Elmos Semiconductor SE           JACK       55.4 ★★★☆☆
LECO       Lincoln Electric Holdings Inc    QUEEN      55.2 ★★★☆☆
UNP        Union Pacific Corp               QUEEN      55.2 ★★★☆☆
NB3        Neurocrine Biosciences Inc       JOKER      55.1 ★★★☆☆
4M7A       Magellan Aerospace Corp          JOKER      55.0 ★★★☆☆
ZAP        Zaptec                           JOKER      55.0 ★★★☆☆
GOOGL      Alphabet Inc                     JOKER      54.9 ★★☆☆☆
NBIX       Neurocrine Biosciences Inc       JOKER      54.7 ★★☆☆☆
CRDO       Credo Technology Group Holding   JOKER      54.6 ★★☆☆☆
