Company;Info - Ticker;Info - Country;Info - Industry;Info - Sector;ROE - Current;FCF margin - Current;Debt-Equity - Current;P/E - Current;Market Cap - Current USD;Info - Report;Dividend - Point;MA - MA 50d;MA - MA 200d;Div. Yield - Current;Dividend - Stable 10y;Dividend - Stable 5y;Dividend g. - Growth 5y;Revenue g. - Growth 5y;Performance - Perform. 1y;Stock price - Current;Info - Price Currency;Info - Report Currency;Earnings/share - Current;ROIC - Average 5y;FCF growth - Growth 5y;Earnings g. - Growth 5y;Fair value
Kunlun Energy Co Ltd;CTJ1;Germany;Oil & Gas - Marketing;Energy;6,4%;3,3%;0,5;9,9;7477,0;Q2-2025;7;0,87;0,82;4,7%;10;5;3,9%;11,9%;-11,8%;0,79;EUR;CNY;0,67;13,6%;-4,2%;10,2%;0,94
Laurent-Perrier;LPE;France;Brewers;Food and Beverage;7,0%;7,9%;0,8;11,0;544,7;Q2-2026;9;88,74;91,64;2,5%;10;5;15,3%;8,7%;-14,4%;84,20;EUR;EUR;7,68;6,5%;-3,4%;12,5%;129,42
Lennar Corp;LEN;USA;Homebuilding;Industrials;9,4%;7,1%;0,6;10,8;22292,4;Q4-2025;9;105,52;117,06;2,3%;10;5;26,2%;8,7%;-24,5%;86,49;USD;USD;7,98;12,2%;0,9%;0,3%;98,21
Luka Koper DD;2FA;Germany;Marine & Sea;Industrials;11,4%;13,4%;0,4;17,2;1386,0;Q3-2025;8;89,19;72,45;2,3%;10;5;14,4%;12,0%;;90,00;EUR;EUR;5,24;10,0%;217,0%;18,0%;196,10
M P Evans Group PLC;MPE;UK;Farming;Food and Beverage;19,1%;33,4%;0,2;10,3;1006,9;Q2-2025;9;14,44;13,11;3,3%;10;5;24,8%;16,1%;;15,20;GBP;USD;2,03;16,5%;121,6%;40,2%;56,14
Marimekko;MEKKO;Finland;Clothing & Footwear;Consumer Durables;32,8%;16,7%;0,8;17,4;466,8;Q4-2025;8;11,37;12,44;4,0%;9;5;18,5%;8,9%;-17,9%;10,44;EUR;EUR;0,60;50,2%;4,5%;12,1%;35,30
Maschinenfabrik Berthold Hermle;MBH3;Germany;Industrial Machinery;Industrials;13,0%;14,5%;0,4;16,0;841,5;Q2-2025;8;157,20;157,89;7,2%;10;5;17,0%;9,5%;-9,7%;153,00;EUR;EUR;9,57;32,1%;18,7%;3,6%;194,53
MBB SE;MBB;Germany;Industrial Components;Industrials;6,3%;3,9%;0,5;17,2;1022,1;Q3-2025;5;203,69;182,73;1,9%;10;5;36,6%;11,1%;20,6%;173,20;EUR;EUR;10,07;4,5%;7,7%;36,3%;219,98
Miquel y Costas & Miquel SA;MCM;Spain;Packaging;Materials;11,1%;6,1%;0,3;12,0;593,8;Q4-2025;9;14,16;14,16;3,4%;10;5;7,6%;2,7%;9,2%;14,25;EUR;EUR;1,19;12,7%;-16,6%;1,2%;19,33
Moury Construct SA;MOUR;Belgium;Construction & Infrastructure;Industrials;19,2%;10,2%;0,7;11,2;313,3;Q2-2025;9;672,40;609,73;2,4%;10;5;22,9%;10,6%;44,6%;720,00;EUR;EUR;64,40;92,3%;88,9%;22,8%;638,27
Naturenergie Holding AG;KWK3;Germany;Renewable Energy;Utilities;13,8%;3,9%;0,5;6,1;1251,9;Q4-2025;6;35,43;34,69;2,6%;10;5;5,2%;8,5%;;34,40;EUR;EUR;5,65;10,2%;52,8%;34,2%;60,05
NetEase Inc;4Y01;Germany;Gaming;Consumer Durables;22,5%;32,2%;0,3;13,9;66503,1;Q3-2025;9;20,09;22,76;2,6%;5;5;33,0%;8,7%;-1,0%;19,00;EUR;;11,40;18,9%;17,3%;25,6%;68,33
Neurones;NRO;France;IT Services;Technology;11,8%;6,9%;0,7;17,4;972,0;Q2-2025;6;36,12;40,51;3,6%;10;5;45,4%;9,7%;-25,3%;36,40;EUR;EUR;2,09;32,2%;4,0%;10,5%;41,10
Nichols PLC;NICL;UK;Beverages;Food and Beverage;20,1%;9,2%;0,5;19,8;436,7;Q2-2025;7;9,66;;9,1%;10;5;25,4%;8,0%;;9,49;GBP;GBP;0,48;41,0%;13,6%;29,5%;14,58
NVE Corp;NVEC;USA;Semiconductors;Technology;24,3%;49,9%;0,0;23,6;335,1;Q3-2026;7;68,04;67,50;5,8%;10;5;0,0%;4,0%;9,0%;69,28;USD;USD;2,93;40,1%;1,4%;3,9%;63,86
Olvi;OLVAS;Finland;Brewers;Food and Beverage;17,3%;4,0%;0,6;10,8;762,5;Q4-2025;7;33,87;31,83;4,0%;10;5;4,2%;9,9%;-0,9%;33,45;EUR;EUR;3,09;15,7%;-5,7%;9,6%;53,05
Orell Fussli AG;OFH;Germany;Business Support & Services;Industrials;14,7%;8,2%;0,4;14,6;329,4;Q2-2025;5;141,48;123,65;3,1%;9;4;8,0%;4,0%;;153,00;EUR;CHF;9,79;16,6%;32,7%;8,2%;192,69
Orient Overseas Ltd;ORI1;Germany;Marine & Sea;Industrials;20,2%;17,2%;0,4;4,4;10939,7;Q2-2025;9;15,29;14,62;11,0%;10;5;43,9%;5,9%;7,6%;15,06;EUR;USD;4,08;88,0%;6,9%;23,2%;52,27
Orion B;ORNBV;Finland;Pharmaceuticals;Health Care;38,9%;11,5%;0,6;20,2;11131,2;Q4-2025;7;69,58;66,30;2,5%;10;5;3,7%;11,9%;28,5%;71,70;EUR;EUR;3,55;31,0%;-3,3%;17,9%;63,90
Orkla;ORK;Norway;Food Processing;Food and Beverage;13,3%;17,4%;0,7;18,0;12287,6;Q4-2025;8;121,18;111,54;4,9%;10;5;16,9%;8,7%;6,4%;122,70;NOK;NOK;6,83;8,6%;27,8%;9,4%;120,43
Pacific Basin Shipping Ltd;OYD;Germany;Marine & Sea;Industrials;5,5%;6,7%;0,3;19,5;1793,8;Q2-2025;8;0,33;0,27;3,1%;8;5;34,3%;9,5%;60,1%;0,32;EUR;USD;0,02;20,5%;23,1%;19,5%;0,41
Pason Systems Inc;PSI;Canada;Oil & Gas - Services;Energy;11,3%;3,5%;0,3;19,3;762,3;Q4-2025;8;12,73;12,18;4,0%;10;5;1,6%;21,8%;-1,5%;13,12;CAD;CAD;0,68;28,6%;-11,0%;53,4%;21,76
Pearson PLC;PSON;UK;Broadcasting & Publishing;Consumer Durables;12,2%;17,8%;0,7;15,2;8410,3;Q2-2025;8;9,51;10,25;2,4%;10;5;4,2%;0,7%;-18,2%;10,06;GBP;GBP;0,66;6,8%;20,2%;8,7%;55,57
Pizza Pizza Royalty Corp;PZA;Canada;Restaurants & Cafés;Consumer Durables;10,3%;85,6%;0,2;16,1;373,0;Q3-2025;7;15,91;15,47;6,1%;10;5;6,7%;5,0%;10,1%;15,16;CAD;CAD;0,94;8,3%;6,2%;4,3%;14,58
