Company;Info - Ticker;Info - Country;Div. Payout - Current;FCF margin - Current;Revenue g. - Growth 5y;Info - Industry;Profit marg - Current;Market Cap - Current USD;Debt-Equity - Current;P/E - Current;FS & G & Div. - Point;Earnings - Stable 5y;Dividend - Stable 5y;Dividend - Current;Earnings/share - Current;Magic - Rank;MA - MA 200d;MA - MA 50d;Price / MA - MA 200d;RSI - RSI(14);Performance - Perform. 1m;Performance - Perform. 6m;Performance - Perform. 1y;Stock price - Current;Info - Price Currency;Info - Report Currency;Earnings/share - Current;ROIC - Average 5y;FCF growth - Growth 5y;Earnings g. - Growth 5y;Fair value
Perdoceo Education Corp;PRDO;USA;23%;28,1%;4,2%;Education;18,9%;2432,1;0,3;15,2;17;5;2;0,56;2,47;389;32,27;33,65;16,3%;67,3;12,3%;1,0%;43,7%;37,53;USD;USD;2,47;39,2%;3,8%;6,7%;36,17
Raffles Medical Group Ltd;02M1;Germany;66%;12,9%;6,1%;Healthcare Facilities;9,2%;1343,2;0,4;26,2;17;5;4;0,03;0,04;3686;0,64;0,65;3,2%;54,0;-1,5%;5,6%;1,5%;0,66;EUR;SGD;0,04;10,7%;12,0%;1,3%;0,47
Range Resources Corp;RRC;USA;13%;22,2%;10,9%;Oil & Gas -Exploration;22,0%;10338,6;0,7;15,7;17;4;3;0,36;2,76;2652;37,51;40,38;15,8%;52,3;3,7%;12,7%;8,0%;43,45;USD;USD;2,76;11,4%;52,0%;24,0%;63,15
Revolutionrace;RVRC;Sweden;47%;17,8%;17,5%;Clothing & Footwear;15,5%;715,4;0,4;23,1;17;5;5;1,35;2,88;1867;56,72;65,57;17,5%;54,6;-0,5%;34,2%;48,0%;66,65;SEK;SEK;2,88;29,1%;11,0%;13,6%;57,81
Safe Bulkers Inc;SBL;Germany;56%;24,9%;6,7%;Marine & Sea;16,8%;652,4;0,7;18,6;14;4;3;0,20;0,36;4519;4,16;5,10;37,0%;65,8;0,9%;50,8%;64,7%;5,70;EUR;USD;0,36;10,9%;69,9%;28,0%;11,23
SandRidge Energy Inc;SD;USA;25%;20,7%;6,3%;Oil & Gas -Exploration;42,4%;569,8;0,3;8,6;19;4;2;0,45;1,80;1752;13,39;16,66;15,4%;38,7;-12,2%;36,7%;34,9%;15,45;USD;USD;1,80;43,0%;-2,5%;17,4%;27,13
Santen Pharmaceutical Co Ltd;SZD;Germany;41%;;3,2%;Pharmaceuticals;10,8%;3626,0;0,4;18,2;18;4;5;38,00;92,86;2213;9,02;9,13;8,1%;65,8;7,7%;3,2%;12,7%;9,75;EUR;JPY;92,86;8,7%;-100,0%;31,9%;11,02
Scorpio Tankers Inc;STNG;USA;26%;62,6%;-0,6%;Oil & Gas -Transportation;32,0%;3542,2;0,3;12,2;20;4;5;1,60;6,26;3797;57,14;70,25;33,8%;60,6;-2,4%;35,8%;100,6%;76,43;USD;USD;6,26;11,6%;23,3%;29,5%;134,75
Seiren Co Ltd;1AB;Germany;29%;6,1%;10,5%;Clothing & Footwear;9,3%;1091,7;0,4;11,4;21;5;5;76,00;258,02;824;16,83;17,85;0,4%;45,8;-13,3%;-1,2%;15,0%;16,90;EUR;JPY;258,02;11,7%;2,1%;17,8%;20,10
Sipef SA;BZ3;Germany;18%;20,6%;15,8%;Farming;22,0%;1108,8;0,2;9,4;19;5;2;2,18;12,05;634;77,47;87,93;25,0%;67,5;11,5%;33,0%;59,2%;96,80;EUR;USD;12,05;9,9%;53,1%;54,7%;164,40
Snap-on Inc;SNA;USA;45%;22,8%;5,5%;Measuring & Analysis;19,7%;19046,7;0,4;18,7;20;5;5;8,86;19,52;1779;344,91;373,06;6,0%;47,8;-6,2%;4,7%;7,7%;365,58;USD;USD;19,52;17,6%;9,7%;11,1%;327,46
SNGN Romgaz SA;RZ8B;Germany;18%;4,3%;15,7%;Oil & Gas -Exploration;40,1%;9581,6;0,3;2,6;19;5;5;0,16;0,87;218;1,83;2,25;23,5%;50,1;-5,2%;39,0%;95,2%;2,26;EUR;RON;0,87;26,1%;-81,9%;21,8%;8,13
Societatea Nationala;53V;Germany;41%;-12,8%;17,4%;Electric Utilities;36,7%;4313,5;0,1;2,0;20;5;2;2,70;6,64;337;10,47;13,25;24,1%;50,3;1,1%;41,3%;64,8%;13,00;EUR;RON;6,64;25,4%;-192,9%;23,4%;63,00
Spadel SA;YX5;Germany;30%;7,9%;8,5%;Beverages;10,9%;1223,4;0,5;25,5;18;5;4;3,20;10,51;2726;229,57;264,00;16,7%;53,2;6,3%;21,8%;48,1%;268,00;EUR;EUR;10,51;15,0%;8,8%;9,8%;179,73
SUESS MicroTec SE;SMHN;Germany;10%;-5,5%;16,3%;Semiconductors;9,9%;1057,7;0,7;17,1;11;5;4;0,30;2,95;976;39,37;52,04;27,8%;44,4;-9,1%;55,4%;47,5%;50,30;EUR;EUR;2,95;22,1%;-220,4%;35,3%;49,03
Teekay Tankers Ltd;S52;Germany;22%;45,4%;1,4%;Oil & Gas -Transportation;32,9%;2375,6;0,1;8,1;16;4;2;2,00;9,05;1636;47,51;59,10;31,5%;57,5;-8,1%;46,7%;78,1%;62,50;EUR;USD;9,05;18,8%;11,7%;28,4%;128,75
Tenaris SA;TW10;Germany;45%;19,4%;18,1%;Oil & Gas - Services;16,9%;29097,0;0,2;15,5;21;4;5;0,83;1,86;2175;17,58;21,99;40,2%;63,6;6,4%;56,6%;37,7%;24,65;EUR;USD;1,86;16,4%;56,3%;40,3%;57,94
Toll Brothers Inc;TLK;Germany;7%;13,8%;5,1%;Homebuilding;12,3%;12551,9;0,7;9,8;23;5;5;1,00;14,07;1098;116,78;125,64;0,0%;42,8;-11,8%;-1,8%;20,5%;116,80;EUR;USD;14,07;14,9%;17,3%;15,9%;160,27
TORM292;TRMD A;Denmark;75%;25,9%;12,8%;Oil & Gas -Transportation;21,3%;2780,3;0,5;9,8;16;4;4;2,20;2,92;1815;141,21;168,46;28,5%;58,9;-2,1%;34,0%;60,9%;181,50;DKK;USD;2,92;16,8%;17,7%;19,6%;297,69
Tourmaline Oil Corp;TOU;Canada;96%;16,6%;23,5%;Oil & Gas -Exploration;21,5%;17976,5;0,4;18,2;14;5;5;3,40;3,53;5235;61,89;64,26;3,9%;45,3;0,1%;6,6%;-8,7%;64,28;CAD;CAD;3,53;12,3%;48,4%;9,2%;76,31
Trican Well Service Ltd;TCW;Canada;36%;12,0%;22,5%;Oil & Gas - Services;10,2%;1054,3;0,5;12,7;14;4;2;0,21;0,58;1229;6,05;7,02;21,8%;56,6;10,7%;18,2%;53,2%;7,37;CAD;CAD;0,58;15,6%;68,4%;21,7%;12,87
TTW Pcl;F1P;Germany;73%;56,6%;-3,3%;Water Utilities;62,3%;1053,4;0,4;10,8;20;5;5;0,60;0,82;1654;0,23;0,24;2,3%;49,0;-3,2%;5,3%;4,3%;0,24;EUR;THB;0,82;18,4%;-4,1%;2,1%;0,27
UIE Plc;I55;Germany;41%;26,4%;12,8%;Farming;23,8%;1678,8;0,1;12,8;17;4;5;1,85;4,48;437;43,18;47,59;13,3%;57,9;6,9%;28,0%;14,8%;48,90;EUR;USD;4,48;9,3%;22,1%;5,8%;50,52
United States Lime & Minerals Inc;USLM;USA;5%;28,1%;18,3%;Construction Supplies;36,0%;3884,6;0,1;28,9;19;5;5;0,24;4,69;2531;119,17;118,74;13,8%;67,8;8,1%;4,0%;48,7%;135,66;USD;USD;4,69;32,4%;21,5%;36,2%;184,17
Utah Medical Products Inc;UTMD;USA;34%;35,9%;-1,7%;Medical Equipment;30,1%;207,5;0,0;17,8;16;5;5;1,22;3,54;757;59,83;63,97;5,5%;47,9;-5,9%;-1,2%;12,7%;63,12;USD;USD;3,54;36,7%;-2,2%;3,7%;47,52
VBG Group;VBG B;Sweden;43%;-4,4%;11,4%;Industrial Components;7,8%;896,4;0,8;20,3;16;5;5;7,25;16,88;3079;337,76;365,01;1,3%;44,9;-5,5%;6,9%;20,9%;342,20;SEK;SEK;16,88;10,2%;-190,1%;13,2%;227,28
Viscofan SA;VIS;Germany;91%;12,7%;6,5%;Packaging;12,8%;2963,1;0,5;16,9;18;5;5;3,17;3,50;1926;57,02;57,65;3,5%;53,7;1,7%;1,0%;-7,7%;59,00;EUR;EUR;3,50;15,1%;2,8%;5,8%;62,52
Watts Water Technologies Inc;WTS;USA;20%;17,0%;10,1%;Industrial Machinery;14,0%;9678,8;0,4;28,4;19;5;5;1,99;10,17;2875;281,11;308,46;2,8%;39,4;-11,3%;2,9%;40,2%;288,92;USD;USD;10,17;17,3%;24,4%;24,7%;246,16
Weyco Group Inc;WEYS;USA;119%;11,8%;7,5%;Clothing & Footwear;8,7%;307,3;0,2;12,5;19;4;5;3,06;2,58;1158;31,10;32,03;4,1%;51,1;2,0%;9,2%;7,6%;32,37;USD;USD;2,58;12,5%;54,7%;37,8%;71,61
Whitecap Resources Inc;WCP;Canada;74%;14,6%;44,7%;Oil & Gas -Exploration;16,7%;11060,2;0,8;15,2;17;4;5;0,73;0,99;4482;11,41;13,67;31,9%;60,5;9,7%;43,2%;63,2%;15,05;CAD;CAD;0,99;14,4%;8,8%;17,3%;16,35
Wilh. Wilhelmsen B;WWIB;Norway;14%;31,0%;8,9%;Marine & Sea;52,8%;2761,2;0,3;4,2;20;5;5;2,10;15,52;5976;521,88;633,30;24,9%;56,8;-1,2%;32,5%;78,6%;652,00;NOK;USD;15,52;12,7%;11,0%;43,8%;2367,50
Winpak Ltd;WPK;Canada;6%;9,3%;5,7%;Packaging;12,2%;2034,6;0,2;14,6;20;5;5;0,14;2,25;1219;43,97;46,41;2,4%;44,6;-6,0%;9,4%;13,1%;45,00;CAD;USD;2,25;14,3%;1,1%;6,5%;47,20
Wuxi AppTec Co Ltd;WX8;Germany;25%;-4,3%;21,8%;Medical Equipment;33,8%;42716,2;0,3;21,7;20;5;5;1,33;5,28;2288;11,42;12,37;20,0%;66,5;10,5%;1,5%;68,1%;13,70;EUR;CNY;5,28;22,8%;-204,5%;37,9%;38,72
Yum Brands Inc;YUM;USA;51%;20,2%;7,8%;Restaurants & Cafés;19,0%;43549,1;-2,1;27,9;17;5;5;2,84;5,59;2627;150,89;159,19;3,4%;46,4;-4,2%;3,1%;-1,8%;156,09;USD;USD;5,59;33,4%;11,1%;13,3%;127,35
ZTO Express Inc;ZTOB;Germany;42%;18,5%;13,5%;Rail & Highway;18,6%;17518,9;0,4;15,1;22;5;4;4,69;11,04;1064;17,24;19,89;15,4%;47,9;-0,5%;25,9%;8,7%;19,90;EUR;;11,04;17,7%;38,2%;15,3%;19,90
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
