Company;Info - Ticker;Info - Country;Div. Payout - Current;FCF margin - Current;Revenue g. - Growth 5y;Info - Industry;Profit marg - Current;Market Cap - Current USD;Debt-Equity - Current;P/E - Current;FS & G & Div. - Point;Earnings - Stable 5y;Dividend - Stable 5y;Dividend - Current;Earnings/share - Current;Magic - Rank;MA - MA 200d;MA - MA 50d;Price / MA - MA 200d;RSI - RSI(14);Performance - Perform. 1m;Performance - Perform. 6m;Performance - Perform. 1y;Stock price - Current;Info - Price Currency;Info - Report Currency;Earnings/share - Current;ROIC - Average 5y;FCF growth - Growth 5y;Earnings g. - Growth 5y;Fair value
Coterra Energy Inc;CTRA;USA;39%;25,3%;39,1%;Oil & Gas -Exploration;22,5%;26300,2;0,6;15,4;18;5;5;0,88;2,25;2755;26,47;31,38;30,5%;61,0;9,7%;49,3%;18,9%;34,56;USD;USD;2,25;10,3%;56,2%;35,1%;58,18
dAmico International Shipping SA;DIS;Italy;74%;19,7%;3,3%;Marine & Sea;23,7%;970,4;0,4;11,7;17;4;2;0,55;0,74;2133;5,34;6,09;38,6%;61,1;-2,2%;70,1%;107,5%;7,40;EUR;USD;0,74;14,2%;-1,3%;41,6%;11,20
Danaos Corp;DAC;USA;13%;32,8%;17,7%;Marine & Sea;47,4%;2127,6;0,3;4,3;16;5;4;3,45;26,83;775;96,74;109,16;19,3%;58,7;-2,4%;30,5%;45,1%;115,43;USD;USD;26,83;20,7%;53,0%;32,7%;271,64
Dorian LPG Ltd;LPG;USA;86%;45,5%;5,0%;Oil & Gas -Transportation;29,9%;1472,3;0,6;12,2;15;5;4;2,45;2,84;2964;29,12;32,79;18,9%;57,3;-8,0%;20,2%;56,5%;34,62;USD;USD;2,84;10,9%;6,8%;8,8%;44,47
EBARA JITSUGYO Co Ltd;EJI;Germany;34%;8,3%;5,5%;Industrial Components;9,6%;343,6;0,7;14,0;21;5;5;53,75;158,96;200;12,08;13,55;8,4%;46,7;-16,0%;9,2%;17,0%;13,10;EUR;JPY;158,96;33,3%;4,7%;11,5%;13,05
Elmos Semiconductor SE;ELG;Germany;14%;13,2%;19,2%;Semiconductors;22,2%;2823,8;0,3;20,7;18;5;5;1,00;7,23;3155;100,14;132,28;49,4%;60,6;-1,1%;77,7%;153,1%;149,60;EUR;EUR;7,23;18,6%;93,0%;83,2%;165,67
Ennis Inc;EBF;USA;60%;4,2%;1,7%;Industrial Components;11,0%;559,3;0,2;13,1;21;5;5;1,00;1,66;1255;18,62;20,69;16,5%;62,0;2,9%;19,9%;7,8%;21,69;USD;USD;1,66;15,6%;-17,0%;12,3%;25,02
EOG Resources Inc;EOG;USA;43%;19,0%;18,0%;Oil & Gas -Exploration;22,1%;77453,5;0,7;15,6;17;4;5;3,94;9,17;1671;116,36;126,06;22,6%;63,7;10,9%;29,2%;10,3%;142,64;USD;USD;9,17;18,8%;26,9%;61,0%;237,32
Ernst Russ AG;ERAG;Germany;11%;78,3%;24,0%;Marine & Sea;38,8%;267,2;0,1;3,8;17;5;2;0,20;1,87;112;7,01;7,26;2,4%;48,0;-0,6%;10,1%;24,2%;7,18;EUR;EUR;1,87;22,5%;62,4%;75,0%;37,09
EUROKAI GmbH & Co KGaA;EUK3;Germany;42%;57,0%;5,9%;Marine & Sea;31,3%;860,2;0,5;11,7;19;4;5;2,00;4,80;3485;48,34;56,90;15,9%;48,0;-1,8%;24,4%;50,5%;56,00;EUR;EUR;4,80;11,8%;36,0%;27,5%;73,67
Euroseas Ltd;2LE1;Germany;15%;26,1%;33,2%;Marine & Sea;54,0%;427,6;0,6;3,8;16;5;3;2,60;17,40;353;48,59;51,73;15,2%;55,0;-4,3%;12,0%;100,0%;56,00;EUR;USD;17,40;31,5%;59,2%;97,4%;296,50
Evertz Technologies Ltd;74E;Germany;94%;20,7%;8,2%;Communications;12,6%;824,5;0,7;18,8;16;5;5;0,80;0,85;1089;8,19;9,54;20,9%;55,2;0,0%;34,7%;45,6%;9,90;EUR;CAD;0,85;32,2%;18,3%;9,1%;8,60
Exxaro Resources Ltd;LCQ;Germany;49%;14,8%;7,9%;Fuel - Coal;19,3%;3028,4;0,4;7,0;23;5;5;16,62;33,86;1233;9,02;10,41;26,4%;61,5;9,6%;34,9%;54,1%;11,40;EUR;ZAR;33,86;16,3%;23,0%;3,7%;15,20
Exxon Mobil Corp;XOM;USA;60%;9,7%;12,6%;Oil & Gas -Exploration;8,9%;691770,4;0,7;24,0;15;4;5;4,00;6,70;4752;123,82;151,69;29,8%;55,4;4,2%;44,4%;35,0%;160,69;USD;USD;6,70;11,8%;102,9%;26,8%;223,51
Faes Farma SA;FFEA;Germany;69%;14,1%;9,9%;Pharmaceuticals;13,0%;1568,3;0,8;17,9;15;5;5;0,18;0,26;4612;4,61;4,88;0,9%;52,0;-10,1%;7,0%;21,2%;4,66;EUR;EUR;0,26;14,3%;0,4%;0,8%;3,49
First Resources Ltd;5F1;Germany;39%;14,2%;13,7%;Food Processing;23,2%;3197,1;0,7;11,8;20;5;5;0,07;0,19;1386;1,28;1,61;46,5%;60,4;17,3%;68,9%;65,0%;1,88;EUR;USD;0,19;15,6%;5,4%;24,4%;2,34
FM Mattsson;FMM B;Sweden;73%;11,0%;5,1%;Installation;7,4%;399,4;0,7;27,5;22;5;5;2,50;3,43;3670;64,66;78,94;46,0%;63,5;10,0%;72,3%;85,8%;94,40;SEK;SEK;3,43;14,3%;7,5%;10,6%;58,10
Freehold Royalties Ltd;1FH;Germany;133%;-21,7%;28,9%;Oil & Gas -Exploration;40,2%;1826,1;0,4;20,7;12;4;5;1,08;0,81;3357;9,15;10,67;12,5%;37,0;-7,3%;22,1%;23,2%;10,29;EUR;CAD;0,81;11,4%;-193,8%;54,3%;12,81
G. Willi-Food International Ltd;WILC;USA;55%;8,0%;5,7%;Food Retail;15,8%;346,9;0,1;12,1;16;5;4;3,75;6,81;1772;23,72;27,56;5,1%;42,7;-6,5%;28,0%;64,0%;24,93;USD;ILS;6,81;16,9%;9,6%;11,9%;29,03
Games Workshop Group PLC;GAW;UK;89%;32,2%;12,0%;Leisure;31,7%;7296,2;0,4;28,1;22;5;5;5,60;6,26;2093;167,13;173,03;5,1%;50,2;-0,2%;23,1%;24,0%;175,60;GBP;GBP;6,26;85,7%;12,2%;10,9%;97,08
Garmin Ltd;GRMN;USA;40%;24,8%;11,6%;Semiconductors;23,0%;45739,8;0,2;27,5;22;5;5;3,45;8,65;3059;223,25;228,24;6,5%;53,7;-6,9%;-7,8%;9,2%;237,65;USD;USD;8,65;23,5%;12,1%;10,8%;154,28
Gaztransport et technigaz SA;9TG;Germany;70%;55,9%;15,2%;Oil & Gas - Services;51,5%;8273,3;0,8;18,2;18;5;5;7,83;11,16;1269;170,48;190,59;19,1%;56,6;2,6%;29,5%;50,4%;203,00;EUR;EUR;11,16;205,2%;17,4%;15,8%;240,19
Global Ship Lease Inc;GSL;USA;18%;2,9%;21,5%;Marine & Sea;54,4%;1367,4;0,6;3,4;19;5;4;1,95;11,14;396;33,02;38,18;16,3%;52,5;-6,5%;25,7%;66,2%;38,41;USD;USD;11,14;16,9%;-29,0%;55,4%;145,50
Gr. Sarantis SA;SSA1;Germany;39%;8,1%;8,9%;Personal Products;8,5%;994,2;0,6;17,7;19;5;5;0,31;0,80;2410;13,24;13,76;6,6%;58,8;-1,8%;10,1%;11,9%;14,12;EUR;EUR;0,80;12,4%;25,2%;6,6%;13,17
Granite Ridge Resources Inc;GRNT;USA;152%;-12,8%;38,9%;Oil & Gas -Exploration;8,4%;747,0;0,8;19,8;11;4;3;0,44;0,29;1870;5,26;5,19;8,9%;61,5;11,7%;6,9%;-7,1%;5,73;USD;USD;0,29;15,5%;-0,6%;29,3%;7,37
Hafnia Limited;HAFNI;Norway;60%;16,8%;10,2%;Oil & Gas -Transportation;23,9%;3782,8;0,6;11,3;15;4;4;0,40;0,66;2777;60,54;66,39;25,0%;67,9;6,5%;22,8%;75,2%;75,68;NOK;USD;0,66;16,7%;-13,1%;10,5%;97,98
