Info - Ticker;Company;;Info - Industry;Canslim - 0-100;Earnings g. - Y-Y Growth;Earnings g. - Growth 1y;Earnings g. - Growth 3y;Revenue g. - Growth 3y;RS Rank - L - 0-100;RS Rank - L - Industry;Volume Rank - 0-100;Trend - Price/H-L 1y;Market Cap - Current SEK;Performance - Perform. 1m;Performance - Perform. 1y;Stock price - Current;Info - Price Currency;Info - Report Currency;Earnings/share - Average 5y;ROIC - Average 5y;Earnings g. - Growth 5y;Fair Value
STX;Seagate Technology Holdings PLC;;Computer Hardware;69;74,1%;64,0%;77,5%;10,9%;98;42;17;85%;872163,8;-6,4%;353,7%;398,78;USD;USD;4,53;23,1%;11,1%;108,91
COCO;The Vita Coco Co Inc;;Beverages;84;66,7%;26,3%;107,5%;12,5%;89;60;86;98%;35248,5;7,1%;74,7%;60,60;USD;USD;0,71;40,0%;16,2%;28,61
UI;Ubiquiti Inc;;Communications;66;70,8%;99,6%;29,6%;15,3%;93;59;17;95%;479635,1;7,7%;143,1%;775,79;USD;USD;9,03;82,1%;8,5%;231,82
VICR;Vicor Corp;;Semiconductors;98;347,8%;1778,6%;65,5%;4,3%;99;61;87;86%;85350,5;18,9%;245,5%;185,42;USD;USD;1,17;18,8%;44,3%;43,22
ZM;Zoom Communications Inc;;IT Services;74;89,2%;92,7%;162,4%;3,5%;39;33;79;32%;230213,4;-19,0%;1,0%;74,96;USD;USD;3,34;95,9%;21,7%;122,33
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
