Company;Info - Ticker;Info - Country;Info - Sector;Info - Industry;Market Cap - Current;P/E - Current;Current r. - Current;Debt-Equity - Current;FCF margin - Average 3y;ROA - Average 5y;MA - MA 50d;MA - MA 200d;Info - Report;F-Score - Point;FS & G & Div. - Point;Earnings - Stable 5y;OP Cash F. - Stable 5y;Price / MA - MA 200d;Performance - Perform. 1y;Performance - Perform. 1m;Performance - Perform. 6m;Stock price - Current;Info - Price Currency;Info - Report Currency;Earnings/share - Current;ROIC - Average 5y;FCF growth - Growth 5y;Earnings g. - Growth 5y;Fair value
Photronics Inc;PLAB;USA;Technology;Semiconductors;2435;17,8;5,4;0,1;11,9%;7,3%;36,96;27,44;Q4-2025;6;15;5;5;48,8%;100,4%;10,6%;66,2%;40,85;USD;USD;2,29;13,0%;-32,2%;34,5%;38,99
Premier Foods PLC;PFD;UK;Food and Beverage;Food Processing;1647;12,4;1,4;0,6;8,2%;4,6%;1,90;1,85;Q2-2026;9;19;5;5;1,1%;1,0%;-2,9%;1,7%;1,87;GBP;GBP;0,15;5,6%;-15,6%;3,9%;1,81
Prevas;PREV B;Sweden;Technology;IT Consulting;1098;15,5;1,2;1,0;4,5%;9,4%;85,98;81,37;Q4-2025;6;16;5;5;4,7%;-15,0%;0,5%;30,9%;85,20;SEK;SEK;5,49;15,8%;-4,2%;3,8%;138,00
Puma Biotechnology Inc;PBYI;USA;Health Care;Biotechnology;345;11,1;2,0;0,7;18,3%;5,0%;6,52;5,25;Q4-2025;7;12;3;4;31,3%;135,5%;7,5%;32,2%;6,90;USD;USD;0,62;49,4%;30,8%;19,2%;11,21
Revolutionrace;RVRC;Sweden;Consumer Durables;Clothing & Footwear;7154;23,1;1,9;0,4;15,8%;18,5%;65,57;56,72;Q2-2026;7;17;5;5;17,5%;48,0%;-0,5%;34,2%;66,65;SEK;SEK;2,88;29,1%;11,0%;13,6%;57,81
SandRidge Energy Inc;SD;USA;Energy;Oil & Gas -Exploration;570;8,6;2,2;0,3;37,6%;21,1%;16,66;13,39;Q3-2025;9;19;4;5;15,4%;34,9%;-12,2%;36,7%;15,45;USD;USD;1,80;43,0%;-2,5%;17,4%;27,47
Scanfil;SCANFL;Finland;Technology;Semiconductors;762;18,5;2,0;0,9;5,6%;7,3%;11,45;10,68;Q4-2025;6;15;5;4;8,8%;28,7%;-0,7%;10,9%;11,62;EUR;EUR;0,63;13,8%;-2,0%;1,3%;11,17
Scorpio Tankers Inc;STNG;USA;Energy;Oil & Gas -Transportation;3542;12,2;4,8;0,3;58,1%;9,3%;70,25;57,14;Q3-2025;6;20;4;5;33,8%;100,6%;-2,4%;35,8%;76,43;USD;USD;6,26;11,6%;23,3%;29,5%;134,75
Sea1 Offshore;SEA1;Norway;Energy;Oil & Gas - Services;5405;4,7;1,5;0,9;49,3%;12,9%;27,65;24,67;Q4-2025;6;16;4;5;42,7%;78,1%;30,4%;60,0%;35,20;NOK;USD;0,74;17,2%;-14,8%;15,1%;90,34
Sea1 Offshore Inc;S5H0;Germany;Energy;Oil & Gas - Services;436;4,5;1,5;0,9;24,1%;12,9%;2,44;2,10;Q4-2025;7;17;4;5;35,3%;69,2%;17,4%;53,0%;2,84;EUR;USD;0,74;17,0%;-30,1%;15,1%;14,36
Sipef SA;SIP;Belgium;Food and Beverage;Farming;1018;9,5;2,7;0,2;10,1%;8,5%;88,67;78,27;Q4-2025;9;20;5;5;24,9%;59,3%;12,7%;34,0%;97,80;EUR;USD;12,05;9,9%;53,1%;54,7%;164,73
Snap-on Inc;SNA;USA;Industrials;Measuring & Analysis;19047;18,7;4,8;0,4;22,8%;12,8%;373,06;344,91;Q4-2025;6;20;5;5;6,0%;7,7%;-6,2%;4,7%;365,58;USD;USD;19,52;17,6%;9,7%;11,1%;327,46
StealthGas Inc;GASS;USA;Industrials;Marine & Sea;340;5,6;5,0;0,0;34,1%;5,1%;8,68;7,34;Q3-2025;7;16;4;5;30,0%;63,6%;9,9%;47,9%;9,54;USD;USD;1,69;6,1%;79,2%;40,4%;19,37
Stella-Jones Inc;SJ;Canada;Materials;Forest & Wood Products;5184;15,3;7,3;1,0;9,4%;8,3%;94,77;84,62;Q3-2025;7;21;5;5;10,2%;36,0%;-2,2%;14,7%;93,26;CAD;CAD;6,11;9,1%;9,6%;14,4%;105,61
Strategic Education Inc;STRA;USA;Industrials;Education;1904;15,0;1,3;0,2;11,2%;3,9%;80,99;80,81;Q4-2025;7;14;5;5;3,5%;-1,3%;-0,9%;-2,8%;83,68;USD;USD;5,57;4,8%;1,5%;7,9%;93,51
Strattec Security Corp;STRT;USA;Consumer Durables;Auto & Equipment;317;11,7;2,6;0,5;4,8%;3,3%;82,57;72,94;Q2-2026;8;12;4;5;7,1%;97,8%;-10,7%;14,4%;78,11;USD;USD;6,70;6,5%;-5,0%;2,4%;69,28
Subsea 7 SA;SOC;Germany;Energy;Oil & Gas - Services;7695;22,0;1,1;0,8;6,1%;1,8%;22,86;18,41;Q4-2025;8;14;4;5;41,3%;76,3%;9,4%;44,8%;26,02;EUR;USD;1,39;3,3%;69,2%;18,9%;103,37
Subsea7;SUBC;Norway;Energy;Oil & Gas - Services;87843;21,2;1,1;0,8;8,2%;1,8%;256,85;213,71;Q4-2025;8;15;4;5;37,2%;74,9%;6,7%;40,6%;293,20;NOK;USD;1,37;3,3%;37,1%;19,2%;311,18
Tenaris SA;TW10;Germany;Energy;Oil & Gas - Services;26452;15,5;4,1;0,2;19,5%;12,1%;21,99;17,58;Q3-2025;6;21;4;5;40,2%;37,7%;6,4%;56,6%;24,65;EUR;USD;1,86;16,4%;56,3%;40,3%;58,44
The North West Co Inc;NWC;Canada;Food and Beverage;Food Retail;2587;18,1;2,3;1,0;4,4%;9,8%;53,69;49,66;Q3-2026;7;16;5;5;8,8%;7,0%;-3,5%;14,5%;54,05;CAD;CAD;2,99;12,9%;-9,0%;0,8%;35,17
Tidewater Inc;TDW;USA;Energy;Oil & Gas - Services;4223;12,6;2,9;0,8;27,6%;2,8%;73,63;58,58;Q4-2025;7;12;2;5;44,0%;96,4%;5,6%;60,0%;84,38;USD;USD;6,69;4,6%;52,9%;27,6%;166,37
Toll Brothers Inc;TLK;Germany;Industrials;Homebuilding;11411;9,8;4,3;0,7;11,9%;10,4%;125,64;116,78;Q1-2026;6;23;5;5;0,0%;20,5%;-11,8%;-1,8%;116,80;EUR;USD;14,07;14,9%;17,3%;15,9%;226,43
Total Energy Services Inc;TOT;Canada;Energy;Oil & Gas - Services;828;13,6;1,4;0,7;7,9%;4,3%;18,60;14,28;Q3-2025;8;15;3;5;53,9%;122,0%;19,1%;51,5%;21,98;CAD;CAD;1,62;6,0%;19,1%;34,4%;38,10
United Therapeutics Corp;UTHR;USA;Health Care;Pharmaceuticals;25021;18,7;6,6;0,1;35,6%;13,6%;504,75;426,45;Q4-2025;7;15;5;5;32,4%;84,0%;9,9%;27,4%;564,81;USD;USD;30,13;27,4%;12,5%;20,9%;548,64
Utah Medical Products Inc;UTMD;USA;Health Care;Medical Equipment;207;17,8;32,1;0,0;39,9%;11,8%;63,97;59,83;Q3-2025;6;16;5;5;5,5%;12,7%;-5,9%;-1,2%;63,12;USD;USD;3,54;36,7%;-2,2%;3,7%;47,52
Viscofan SA;VIS;Spain;Materials;Packaging;2771;17,3;2,0;0,5;12,8%;10,8%;57,87;57,01;Q4-2025;6;18;5;5;6,5%;-5,9%;3,6%;4,7%;60,70;EUR;EUR;3,50;15,1%;2,8%;5,8%;58,86
Weyco Group Inc;WEYS;USA;Consumer Durables;Clothing & Footwear;307;12,5;9,0;0,2;11,6%;8,7%;32,03;31,10;Q3-2025;6;19;4;4;4,1%;7,6%;2,0%;9,2%;32,37;USD;USD;2,58;12,5%;54,7%;37,8%;71,61
Wilh. Wilhelmsen B;WWIB;Norway;Industrials;Marine & Sea;27612;4,2;1,4;0,3;27,9%;9,9%;633,30;521,88;Q4-2025;7;20;5;5;24,9%;78,6%;-1,2%;32,5%;652,00;NOK;USD;15,52;12,7%;11,0%;43,8%;2367,50
Winpak Ltd;WPK;Canada;Materials;Packaging;2749;14,6;6,3;0,2;8,6%;8,8%;46,41;43,97;Q4-2025;6;20;5;5;2,4%;13,1%;-6,0%;9,4%;45,00;CAD;USD;2,25;14,3%;1,1%;6,5%;46,95
Yara International;YAR;Norway;Materials;Chemicals;142901;10,4;1,7;1,0;5,0%;5,3%;487,09;406,86;Q4-2025;7;18;5;5;37,9%;77,6%;16,7%;51,5%;561,00;NOK;USD;5,37;7,5%;-14,7%;15,8%;870,33
Yue Yuen Industrial Ltd;YUE1;Germany;Consumer Durables;Clothing & Footwear;2618;8,1;2,1;0,5;4,4%;3,8%;1,82;1,60;Q2-2025;7;17;4;5;1,6%;7,9%;-14,7%;14,0%;1,63;EUR;USD;0,24;6,2%;-1,6%;44,0%;3,56
Yum China Holdings Inc;YUMC;USA;Consumer Durables;Restaurants & Cafés;18151;19,5;1,0;0,8;10,7%;7,0%;52,70;47,49;Q4-2025;7;19;5;5;3,6%;-7,1%;-8,1%;14,9%;49,19;USD;USD;2,52;11,8%;6,9%;4,6%;42,49
ZEAL Network SE;TIMA;Germany;Consumer Durables;Gambling & Casinos;1018;21,2;1,5;1,0;30,2%;6,5%;48,92;48,14;Q3-2025;6;17;5;5;1,8%;12,6%;-0,2%;1,0%;49,00;EUR;EUR;2,31;12,1%;61,4%;44,2%;76,41
Zoom Communications Inc;ZM;USA;Technology;IT Services;24749;13,0;4,3;0,2;41,5%;10,2%;83,63;81,79;Q4-2026;7;16;5;5;0,7%;11,3%;13,3%;0,1%;82,36;USD;USD;6,32;95,9%;14,2%;21,7%;127,08
ZTO Express Inc;ZTOB;Germany;Industrials;Rail & Highway;15926;15,1;1,4;0,4;16,6%;9,1%;19,89;17,24;Q3-2025;7;22;5;5;15,4%;8,7%;-0,5%;25,9%;19,90;EUR;;11,04;17,7%;38,2%;15,3%;20,45
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
