Company;Info - Ticker;Info - Sector;Info - Industry;Info - Country;EV/EBITDA - Current;FCF margin - Current;Gross marg - Average 1y;Debt-Equity - Current;P/B - Current;Earnings - Stable 5y;Market Cap - Current USD;F-Score - Point;P/E - Current;MA - MA 20d;Price / MA - MA 20d;Performance - Perform. 1m;Performance - Perform. 1y;Stock price - Current;Info - Report Currency;Info - Price Currency;Earnings/share - Average 5y;ROIC - Current;FCF growth - Growth 5y;Earnings g. - Growth 5y;Fair value
Fractal Gaming;FRACTL;Technology;Computer Hardware;Sweden;6,7;-1,5%;40,6%;0,6;1,2;4;51,3;5;15,9;15,59;12,9%;23,6%;-53,7%;17,60;SEK;SEK;1,20;8,0%;-190,6%;-17,4%;16,42
Freshworks Inc;FRSH;Technology;IT Services;USA;42,6;26,2%;84,2%;0,6;2,3;;2421,8;5;13,2;8,09;2,8%;3,0%;-41,9%;8,32;USD;USD;0,01;56,8%;95,5%;25,1%;12,34
H&R Block Inc;HRB;Industrials;Business Support & Services;USA;7,1;19,2%;44,4%;-4,6;-5,1;5;4229,7;6;7,3;31,13;3,4%;4,0%;-42,9%;32,18;USD;USD;4,01;31,9%;6,2%;7,1%;65,46
HighPeak Energy Inc;HPK;Energy;Oil & Gas -Exploration;USA;2,8;-1,6%;33,6%;1,0;0,5;4;860,4;5;17,7;6,48;6,5%;20,0%;-46,3%;6,90;USD;USD;1,06;1,8%;13,3%;38,4%;17,91
Hikma Pharmaceuticals PLC;HIK;Health Care;Pharmaceuticals;UK;6,8;6,3%;49,7%;1,2;1,5;5;3608,7;6;10,6;12,49;3,6%;3,4%;-33,7%;12,94;USD;GBP;1,36;11,4%;-12,0%;-1,7%;17,18
Hilton Food Group PLC;HFG;Food and Beverage;Food Processing;UK;6,4;0,7%;12,2%;3,0;1,5;5;597,5;6;12,2;5,01;6,1%;2,3%;-35,6%;5,31;GBP;GBP;0,39;5,7%;90,6%;-2,2%;8,88
HP Inc;HPQ;Technology;Computer Hardware;USA;5,8;6,5%;20,7%;-55,2;-24,0;5;18349,2;6;7,3;18,91;3,2%;4,3%;-29,8%;19,51;USD;USD;2,90;27,6%;-7,9%;-13,2%;32,14
Humble Group;HUMBLE;Food and Beverage;Food Processing;Sweden;8,2;3,5%;31,2%;0,8;0,7;1;329,7;6;182,0;7,23;0,7%;2,8%;-23,0%;7,28;SEK;SEK;0,01;0,2%;17,9%;15,9%;0,43
Icon PLC;ICLR;Health Care;Medical Equipment;USA;8,0;11,6%;28,8%;0,8;1,0;5;9105,3;7;15,3;103,31;10,5%;5,5%;-31,4%;114,19;USD;USD;6,60;4,7%;8,3%;3,8%;110,87
Kolibri Global Energy Inc;KEI;Energy;Oil & Gas -Exploration;Canada;5,4;-12,3%;45,9%;0,4;0,9;4;193,8;5;10,6;7,01;5,1%;37,0%;-41,7%;7,37;USD;CAD;1,01;6,9%;-200,4%;16,7%;10,93
Kyndryl Holdings Inc;KD;Technology;IT Services;USA;3,2;15,4%;21,1%;7,6;2,3;1;3042,9;7;12,1;12,66;4,5%;3,1%;-58,8%;13,23;USD;USD;0,01;5,1%;19,5%;16,2%;16,44
Lime Technologies;LIME;Technology;IT Services;Sweden;12,7;18,0%;100,0%;1,5;7,7;5;275,2;9;24,6;203,76;1,3%;3,6%;-38,2%;206,50;SEK;SEK;6,18;21,6%;7,3%;12,2%;135,97
Linedata Services SA;LN4;Technology;IT Services;Germany;5,2;14,6%;43,5%;1,6;1,7;5;215,6;6;7,7;39,63;1,2%;2,3%;-48,2%;40,10;EUR;EUR;4,95;13,8%;18,4%;11,1%;97,71
MAX Automation SE;MXHN;Industrials;Industrial Machinery;Germany;15,4;10,2%;54,1%;0,8;0,9;3;189,9;5;220,0;3,79;16,2%;18,0%;-27,2%;4,40;EUR;EUR;0,15;0,1%;39,1%;15,1%;12,46
Neurones;NRO;Technology;IT Services;France;4,4;6,9%;59,3%;0,7;2,0;5;972,0;7;17,4;34,81;4,6%;6,0%;-25,3%;36,40;EUR;EUR;1,94;28,1%;4,0%;10,5%;40,14
Nutanix Inc;NTNX;Technology;IT Services;USA;37,4;24,7%;86,8%;-4,9;-13,3;1;11039,3;6;41,5;39,50;4,1%;2,0%;-41,1%;41,10;USD;USD;0,01;-304,7%;32,2%;17,1%;36,84
Okta Inc;OKTA;Technology;IT Services;USA;57,2;33,7%;76,7%;0,3;2,0;1;13996,1;6;72,2;78,72;1,9%;8,4%;-23,4%;80,19;USD;USD;0,01;4,3%;57,1%;20,4%;47,45
OneSpan Inc;OSPN;Technology;IT Services;USA;5,7;22,4%;71,7%;0,5;1,5;1;408,5;6;5,6;10,58;1,0%;2,0%;-31,1%;10,69;USD;USD;0,31;34,3%;47,5%;73,3%;36,93
Orsted;ORSTED;Utilities;Wind Energy;Denmark;10,2;-58,3%;49,6%;1,5;1,5;3;31361,9;6;79,1;145,93;8,4%;5,5%;-47,5%;158,25;DKK;DKK;1,73;0,7%;-368,5%;-43,9%;193,54
Payoneer Global Inc;PAYO;Technology;IT Services;USA;-33,2;10,9%;100,0%;11,7;2,5;2;1777,0;6;24,6;4,71;4,5%;7,4%;-34,1%;4,92;USD;USD;0,09;16,0%;57,8%;37,2%;4,41
Playtech PLC;PTEC;Consumer Durables;Gambling & Casinos;UK;8,2;-3,6%;99,6%;0,5;0,9;4;1446,1;7;36,9;3,51;6,5%;6,6%;-46,6%;3,74;EUR;GBP;0,56;124,7%;-184,4%;19,9%;5,55
QuinStreet Inc;QNST;Consumer Durables;Advertising;USA;15,8;6,0%;10,0%;0,7;2,3;2;689,9;5;11,1;12,02;0,7%;4,6%;-32,8%;12,10;USD;USD;0,01;29,9%;7,8%;19,9%;15,93
Revenio;REG1V;Health Care;Medical Equipment;Finland;16,5;22,8%;71,1%;0,3;4,4;5;558,8;5;29,4;18,23;4,5%;3,9%;-24,5%;19,04;EUR;EUR;0,70;17,5%;10,4%;2,9%;17,78
Sage Group PLC;SGE;Technology;IT Services;UK;12,3;16,0%;93,8%;4,2;11,7;5;10607,5;7;22,8;8,35;3,0%;3,4%;-29,6%;8,61;GBP;GBP;0,28;18,8%;9,4%;5,9%;7,10
Sidetrade SA;ALBFR;Technology;IT Services;France;24,0;13,3%;26,0%;1,1;5,2;5;246,3;7;26,6;141,32;6,8%;33,0%;-38,6%;151,00;EUR;EUR;4,09;31,2%;22,8%;18,8%;109,54
Sprinklr Inc;CXM;Technology;IT Services;USA;16,1;27,1%;70,4%;0,9;2,7;2;1531,2;7;13,8;5,91;2,6%;5,0%;-28,9%;6,06;USD;USD;0,06;87,0%;79,2%;34,0%;10,71
