Info - Ticker;Company;P/E - Current;Info - Sector;Info - Country;Info - Industry;FCF margin - Current;Debt-Equity - Current;Profit marg - Current;P/E - Current;Market Cap - Current USD;Canslim - 0-100;Earnings g. - Y-Y Growth;Earnings g. - Growth 1y;Earnings g. - Growth 3y;MA - MA 50d;MA - MA 200d;Revenue g. - Growth 3y;RS Rank - L - 0-100;RS Rank - L - Industry;Volume Rank - 0-100;Trend - Price/H-L 1y;Market Cap - Current SEK;Performance - Perform. 1m;Performance - Perform. 1y;Stock price - Current;Info - Price Currency;Info - Report Currency;Earnings/share - Average 5y;ROIC - Average 5y;Earnings g. - Growth 5y;Fair value
DUOL;Duolingo Inc;11,3;Technology;USA;IT Services;37,40%;0,5;39,90%;11,3;4665,1;64;190,70%;350,50%;99,00%;125,6;258,61;41,10%;6;33;89;2%;47677,6;-11,00%;-66,00%;100,05;USD;USD;1,43;25,70%;72,00%;238,5
ELMD;Electromed Inc;21,7;Health Care;USA;Medical Equipment;11,90%;0,2;13,10%;21,7;193,6;2;43,50%;33,80%;42,50%;26,34;24,15;12,70%;40;38;12;42%;1978,5;-6,60%;-6,50%;23,17;USD;USD;0,64;18,50%;30,80%;19,42
ESP;Espey Manufacturing & Electronics;15,5;Industrials;USA;Electrical Components;28,50%;0,6;23,40%;15,5;149,5;26;37,80%;41,30%;33,80%;54,82;46,05;4,90%;88;54;19;83%;1527,8;-1,90%;110,40%;55,75;USD;USD;2,22;52,70%;115,90%;87,6
EVER;EverQuote Inc;5,9;Technology;USA;Online Services;13,00%;0,4;14,30%;5,9;581,9;63;357,10%;198,90%;77,30%;19,24;23,04;19,70%;14;34;87;13%;5946,7;12,80%;-42,60%;16,1;USD;USD;0,14;10,80%;54,20%;15,14
EXEL;Exelixis Inc;14,3;Health Care;USA;Biotechnology;36,40%;0,3;33,70%;14,3;11204,8;59;87,80%;60,00%;72,60%;43,19;41,59;12,90%;57;49;52;52%;114513,6;-7,20%;11,50%;41,26;USD;USD;1,32;29,50%;51,60%;40,85
VH2;Friedrich Vorwerk Group SE;21,3;Industrials;Germany;Construction & Infrastructure;13,90%;0,8;10,70%;21,3;1661;58;126,60%;152,90%;60,30%;84;80;21,70%;66;59;41;50%;16912;-11,70%;76,60%;75,5;EUR;EUR;1,61;22,80%;18,30%;44,42
GMED;Globus Medical Inc;21,8;Health Care;USA;Medical Equipment;19,70%;0,2;18,30%;21,8;11706,9;71;452,60%;423,70%;28,20%;90,48;72,28;42,20%;79;38;37;70%;119644,7;-4,00%;20,00%;86,58;USD;USD;1,84;8,50%;30,80%;62,14
HQY;HealthEquity Inc;35,8;Health Care;USA;Medical Supplies;28,10%;0,6;14,90%;35,8;6880,1;60;757,10%;98,20%;109,20%;81,61;92,54;14,40%;30;33;42;16%;70315;3,20%;-21,00%;79,57;USD;USD;0,63;1,80%;79,20%;63,05
HTG;Hunting PLC;24,5;Energy;UK;Oil & Gas - Services;9,90%;0,3;4,00%;24,5;949,3;100;139,40%;248,90%;110,70%;4,71;3,67;12,00%;93;71;65;77%;9734,2;-6,60%;66,80%;4,8;GBP;USD;0,06;0,50%;16,90%;3,24
IESC;IES Holdings Inc;25,9;Industrials;USA;Construction & Infrastructure;5,00%;0,7;9,80%;25,9;8783,4;67;65,90%;56,50%;55,00%;458,43;385,77;13,70%;89;59;64;75%;89766,1;-10,00%;137,10%;441,56;USD;USD;9,66;30,20%;39,80%;319,29
