Company;P/E - Current;Info - Country;Info - Industry;Info - Ticker;ROE - Current;Debt-Equity - Current;FCF margin - Current;Market Cap - Current USD;Performance - Perform. 1y;RS Rank - L - 0-100;Price / MA - MA 50d;Price / MA - MA 150d;Price / MA - MA 200d;MA - 50/150;MA -  50/200;MA - 150/200;MA200 - Trend 1m;Stock price - Price/L 1y;Stock price - Price/H 1y;FS & G & Div. - Point;Earnings - Stable 5y;OP Cash F. - Stable 5y;Stock price - Current;Stock price - Current;Info - Price Currency;Info - Report Currency;Earnings/share - Current;ROIC - Average 3y;FCF growth - Growth 5y;Earnings g. - Growth 3y;Fair value
Seaboard Corp;11,5;USA;Industrial Components;SEB;9,50%;0,6;1,10%;5694,7;113,40%;93;14,50%;34,50%;43,60%;17,40%;25,40%;6,80%;7,60%;142%;0%;18;5;5;5906,78;5906,78;USD;USD;514,46;5,00%;-1,70%;1,00%;7125,53
Seneca Foods Corp;12,3;USA;Food Processing;SENEA;12,60%;0,7;5,90%;1104,8;78,90%;90;19,90%;34,10%;39,00%;11,80%;15,90%;3,70%;5,60%;99%;3%;12;5;3;160,92;160,92;USD;USD;13,11;6,20%;8,10%;122,50%;379,66
Sipef SA;9,5;Belgium;Farming;SIP;12,00%;0,2;20,60%;1120,3;59,30%;95;10,30%;19,10%;24,90%;8,00%;13,30%;4,90%;4,40%;68%;2%;20;5;5;97,8;97,8;EUR;USD;12,05;8,80%;53,10%;5,00%;234,94
SOL SpA;34;Germany;Chemicals;QOL;14,10%;1;3,70%;5837,4;56,00%;75;17,90%;18,00%;18,70%;0,00%;0,70%;0,60%;1,40%;73%;3%;18;5;5;58,5;58,5;EUR;EUR;1,72;10,30%;-7,30%;5,30%;25,19
Solstad Offshore;3,9;Norway;Oil & Gas -Transportation;SOFF;33,20%;1,1;57,20%;560,8;87,70%;93;23,50%;36,00%;36,80%;10,20%;10,80%;0,60%;5,00%;127%;4%;16;3;5;68,1;68,1;NOK;USD;1,71;10,20%;-1,70%;47,70%;91,53
Spadel SA;26,8;Belgium;Beverages;SPA;13,50%;0,5;7,90%;1287,3;48,40%;94;7,80%;21,50%;27,30%;12,70%;18,10%;4,80%;6,00%;48%;0%;20;5;5;282;282;EUR;EUR;10,51;18,50%;8,80%;50,60%;237,45
StealthGas Inc;5,6;USA;Marine & Sea;GASS;9,20%;0;45,80%;340,5;63,60%;88;9,90%;26,90%;30,00%;15,40%;18,30%;2,50%;5,70%;95%;9%;16;4;5;9,54;9,54;USD;USD;1,69;10,20%;79,20%;23,40%;19,37
Teekay Tankers Ltd;8,5;USA;Oil & Gas -Transportation;TNK;16,20%;0,1;45,40%;2660,3;100,20%;92;10,70%;27,60%;36,40%;15,20%;23,20%;6,90%;5,50%;131%;6%;16;4;4;76,99;76,99;USD;USD;9,05;31,50%;11,70%;9,40%;147,58
Thermon Group Holdings Inc;29,1;USA;Industrial Machinery;THR;10,90%;0,5;13,80%;1716,7;85,10%;92;7,20%;37,90%;48,30%;28,70%;38,30%;7,50%;7,30%;126%;11%;17;5;5;52,08;52,08;USD;USD;1,79;8,70%;33,00%;21,00%;52,78
Tidewater Inc;12,6;USA;Oil & Gas - Services;TDW;24,60%;0,8;28,30%;4223,5;96,40%;93;14,60%;39,00%;44,00%;21,30%;25,70%;3,60%;7,60%;171%;5%;12;2;5;84,38;84,38;USD;USD;6,69;13,90%;52,90%;150,10%;119,46
Topaz Energy Corp;37;Canada;Oil & Gas -Transportation;TPZ;8,50%;0,5;56,10%;3536,3;26,10%;52;2,80%;12,20%;14,50%;9,20%;11,40%;2,10%;2,60%;48%;4%;13;5;5;31,07;31,07;CAD;CAD;0,84;4,40%;4,00%;6,30%;24,1
Toromont Industries Ltd;32;Canada;Industrial Components;TIH;15,10%;0,7;8,30%;11777,5;73,20%;66;0,90%;14,30%;21,20%;13,20%;20,10%;6,00%;5,70%;81%;9%;18;5;5;195,76;195,76;CAD;CAD;6,11;18,80%;6,60%;3,80%;110,65
Total Energy Services Inc;13,6;Canada;Oil & Gas - Services;TOT;10,20%;0,7;8,60%;613,1;122,00%;81;18,20%;41,80%;53,90%;20,00%;30,30%;8,50%;9,80%;156%;7%;15;3;5;21,98;21,98;CAD;CAD;1,62;8,10%;19,10%;21,60%;36,86
Trican Well Service Ltd;12,7;Canada;Oil & Gas - Services;TCW;16,10%;0,5;12,00%;1054,3;53,20%;64;5,10%;18,10%;21,80%;12,40%;16,00%;3,20%;5,40%;97%;7%;14;4;5;7,37;7,37;CAD;CAD;0,58;19,70%;68,40%;20,70%;12,98
UCB SA;32,3;Belgium;Biotechnology;UCB;14,30%;0,7;21,20%;55315,1;61,60%;93;1,40%;8,60%;15,90%;7,10%;14,20%;6,70%;5,00%;104%;9%;21;5;5;264,5;264,5;EUR;EUR;8,2;8,50%;14,10%;54,80%;337,79
United Therapeutics Corp;18,7;USA;Pharmaceuticals;UTHR;18,80%;0,1;35,90%;25021,1;84,00%;88;11,90%;20,30%;32,40%;7,50%;18,40%;10,10%;6,40%;112%;7%;15;5;5;564,81;564,81;USD;USD;30,13;31,70%;12,50%;23,50%;562,45
Valaris Ltd;7;USA;Oil & Gas - Services;VAL;31,00%;0,7;5,20%;6921,6;141,20%;96;15,30%;54,00%;64,80%;33,60%;43,00%;7,00%;11,80%;261%;7%;13;3;3;98,04;98,04;USD;USD;13,92;21,60%;;80,90%;94,57
Valeura Energy Inc;4,2;Germany;Oil & Gas -Exploration;83PN;44,70%;0,6;21,60%;979,9;47,90%;89;12,40%;52,60%;56,90%;35,70%;39,50%;2,80%;9,10%;124%;12%;11;2;2;8,36;8,36;EUR;USD;2,36;58,40%;82,50%;166,20%;30,97
Village Super Market Inc;10,3;USA;Food Retail;VLGEA;11,10%;1;1,10%;439,3;13,30%;73;9,40%;17,80%;17,80%;7,60%;7,70%;0,10%;1,30%;43%;1%;18;5;5;43,1;43,1;USD;USD;4,18;7,70%;-3,80%;3,40%;62,23
Western Digital Corp;25,7;USA;Computer Hardware;WDC;51,80%;1,1;24,00%;102059,6;621,40%;99;7,00%;54,70%;83,70%;44,60%;71,70%;18,70%;19,40%;923%;8%;10;3;3;294,97;294,97;USD;USD;11,47;28,40%;19,60%;81,10%;396,42
Westinghouse Air Brake;37,1;USA;Rail & Highway;WAB;10,50%;1;13,40%;43291,7;38,30%;78;2,90%;15,90%;18,40%;12,70%;15,10%;2,10%;2,30%;67%;5%;17;5;5;253,91;253,91;USD;USD;6,84;6,80%;18,20%;25,50%;188,21
Woodward Inc;45,4;USA;Military & Defense;WWD;18,90%;0,8;13,40%;22202,1;98,70%;88;0,70%;21,40%;27,20%;20,60%;26,30%;4,80%;6,20%;153%;8%;23;5;5;371,78;371,78;USD;USD;8,18;13,20%;12,00%;28,20%;198,22
ZTO Express Inc;15,1;Germany;Rail & Highway;ZTOB;13,50%;0,4;18,50%;17518,9;8,70%;70;0,10%;12,60%;15,40%;12,50%;15,40%;2,50%;3,10%;38%;8%;22;5;5;19,9;19,9;EUR;;11,04;20,20%;38,20%;9,50%;21,95
