Company;P/E - Current;Info - Country;Info - Industry;Info - Ticker;ROE - Current;Debt-Equity - Current;FCF margin - Current;Market Cap - Current USD;Performance - Perform. 1y;RS Rank - L - 0-100;Price / MA - MA 50d;Price / MA - MA 150d;Price / MA - MA 200d;MA - 50/150;MA -  50/200;MA - 150/200;MA200 - Trend 1m;Stock price - Price/L 1y;Stock price - Price/H 1y;FS & G & Div. - Point;Earnings - Stable 5y;OP Cash F. - Stable 5y;Stock price - Current;Stock price - Current;Info - Price Currency;Info - Report Currency;Earnings/share - Current;ROIC - Average 3y;FCF growth - Growth 5y;Earnings g. - Growth 3y;Fair value
Diploma PLC;44,9;UK;Industrial Components;DPLM;18,60%;0,8;15,50%;10470,3;58,20%;85;12,00%;13,50%;14,90%;1,30%;2,60%;1,30%;1,90%;75%;1%;22;5;5;61,97;61,97;GBP;GBP;1,38;10,30%;24,60%;21,90%;38,89
Draegerwerk AG & Co KGaA;14;Germany;Medical Equipment;DRW3;8,00%;1;3,10%;1859,2;32,20%;79;1,40%;18,30%;21,50%;16,60%;19,80%;2,80%;3,20%;60%;4%;17;4;4;90;90;EUR;EUR;6,42;6,50%;-23,20%;56,70%;104,6
DT Midstream Inc;30,9;USA;Oil & Gas -Transportation;DTM;9,00%;1,1;37,50%;13620,5;36,70%;76;0,40%;11,30%;15,30%;10,90%;14,90%;3,60%;3,30%;61%;7%;14;5;5;134,06;134,06;USD;USD;4,34;4,30%;30,80%;4,30%;73,35
El Pollo Loco Holdings Inc;15,8;USA;Restaurants & Cafés;LOCO;9,20%;1,1;4,50%;404,9;33,30%;83;18,80%;28,40%;28,80%;8,10%;8,40%;0,30%;3,10%;68%;4%;11;5;5;13,89;13,89;USD;USD;0,88;5,00%;-10,80%;15,60%;13,51
Element Solutions Inc;43,1;USA;Chemicals;ESI;7,10%;0,9;12,00%;8247,4;51,00%;84;5,50%;20,70%;25,30%;14,40%;18,80%;3,80%;4,90%;103%;10%;16;5;5;34,08;34,08;USD;USD;0,79;4,50%;4,50%;1,70%;18,31
Elmos Semiconductor SE;20,7;Germany;Semiconductors;ELG;20,10%;0,3;13,20%;2823,8;153,10%;90;13,10%;44,00%;49,40%;27,40%;32,10%;3,70%;8,80%;214%;2%;18;5;5;149,6;149,6;EUR;EUR;7,23;21,30%;93,00%;20,10%;300,97
ENAV SpA;26,6;Germany;Airlines;ENV;9,00%;0,7;27,20%;2975;47,40%;75;3,50%;12,20%;16,40%;8,40%;12,40%;3,70%;2,40%;54%;6%;15;5;3;5,27;5,27;EUR;EUR;0,2;7,00%;21,80%;1,40%;4,16
EnerSys;21,7;USA;Electrical Components;ENS;16,50%;1,1;9,10%;6759,5;91,80%;90;3,20%;22,30%;34,60%;18,50%;30,40%;10,00%;7,30%;132%;9%;19;5;4;177,35;177,35;USD;USD;8,19;11,70%;15,30%;23,90%;160,73
Espey Manufacturing & Electronics;15,8;USA;Electrical Components;ESP;18,10%;0,6;12,60%;152,2;107,20%;87;0,90%;20,50%;21,00%;19,50%;19,90%;0,40%;4,60%;128%;9%;12;4;5;56,76;56,76;USD;USD;3,59;80,00%;26,60%;33,80%;75,85
Etablissements Maurel & Prom;10,9;France;Oil & Gas -Exploration;MAU;19,10%;0,7;6,60%;2392,9;129,20%;97;23,80%;73,40%;81,80%;40,10%;46,80%;4,80%;11,70%;181%;5%;16;4;5;10,92;10,92;EUR;USD;1,18;16,60%;23,20%;4,60%;14,11
Euroseas Ltd;3,9;USA;Marine & Sea;ESEA;28,20%;0,6;26,10%;467,1;111,50%;87;8,90%;13,40%;17,20%;4,20%;7,60%;3,30%;5,60%;156%;8%;16;5;5;67,28;67,28;USD;USD;17,4;27,90%;59,20%;5,60%;250,03
Evertz Technologies Ltd;18,8;Germany;Communications;74E;23,70%;0,7;20,70%;824,5;45,60%;77;3,70%;17,60%;20,90%;13,30%;16,60%;2,90%;3,20%;62%;5%;16;5;5;9,9;9,9;EUR;CAD;0,85;34,40%;18,30%;0,40%;15,47
Filtronic PLC;44,4;Germany;Communications;FTI;25,80%;0,4;4,90%;554,8;87,00%;82;5,70%;28,90%;30,90%;21,90%;23,90%;1,60%;3,40%;166%;4%;11;5;5;2,3;2,3;EUR;GBP;0,05;38,90%;9,20%;174,30%;4,42
