Info - Ticker;Company;P/E - Current;Info - Sector;Info - Country;Info - Industry;Info - Ticker;ROE - Current;Debt-Equity - Current;FCF margin - Current;Market Cap - Current USD;Performance - Perform. 1y;RS Rank - L - 0-100;Price / MA - MA 50d;Price / MA - MA 150d;Price / MA - MA 200d;MA - 50/150;MA -  50/200;MA - 150/200;MA200 - Trend 1m;Stock price - Price/L 1y;Stock price - Price/H 1y;FS & G & Div. - Point;Earnings - Stable 5y;OP Cash F. - Stable 5y;Stock price - Current;Stock price - Current;Info - Price Currency;Info - Report Currency;Earnings/share - Current;ROIC - Average 5y;Earnings g. - Growth 5y;Fair value
HWX;Headwater Exploration Inc;17,1;Energy;Canada;Oil & Gas -Exploration;HWX;23,00%;0,3;11,00%;2195,2;100,20%;76;10,40%;38,40%;47,00%;25,30%;33,10%;6,20%;7,90%;162%;6%;10;5;5;12,49;12,49;CAD;CAD;0,73;25,80%;71,00%;15,51
N4Q1;Hemisphere Energy Corp;8,5;Energy;Germany;Oil & Gas -Exploration;N4Q1;38,30%;0,6;46,50%;177,4;47,80%;79;25,80%;30,70%;33,50%;3,90%;6,10%;2,10%;2,90%;61%;0%;15;4;5;1,67;1,67;EUR;EUR;0,32;30,70%;134,00%;3,16
ISSC;Innovative Solutions & Support;27;Industrials;USA;Military & Defense;ISSC;27,60%;0,6;13,60%;513,4;337,50%;98;28,90%;88,80%;92,30%;46,50%;49,20%;1,90%;13,50%;450%;6%;14;5;5;29,14;29,14;USD;USD;1,08;20,70%;30,10%;20,99
ITRN;Ituran Location & Control Ltd;17,3;Technology;USA;Semiconductors;ITRN;26,60%;0,7;18,60%;1002,4;32,80%;82;8,80%;23,30%;25,00%;13,40%;15,00%;1,40%;3,00%;68%;2%;19;5;5;50,44;50,44;USD;USD;2,92;28,40%;30,60%;46
JEN;Jensen-Group NV;12,7;Industrials;Belgium;Industrial Machinery;JEN;18,00%;0,7;8,10%;729,9;41,70%;86;9,80%;14,30%;16,90%;4,10%;6,40%;2,20%;2,80%;74%;4%;16;5;4;70;70;EUR;EUR;5,5;12,50%;41,20%;70
XD1;Jensen-Group NV;13,1;Industrials;Germany;Industrial Machinery;XD1;18,00%;0,7;8,10%;750,8;48,50%;75;13,70%;18,20%;20,90%;3,90%;6,30%;2,30%;2,90%;71%;0%;14;5;4;72;72;EUR;EUR;5,5;12,50%;41,20%;70
ROVI;Laboratorios Farmaceuticos Rovi;33,8;Health Care;Spain;Pharmaceuticals;ROVI;19,50%;0,5;14,90%;4492,7;53,70%;90;5,60%;22,70%;27,70%;16,20%;21,00%;4,10%;4,60%;75%;6%;18;5;5;79,85;79,85;EUR;EUR;2,36;29,30%;16,50%;75,04
41L;Laboratorios Farmaceuticos Rovi;33,4;Health Care;Germany;Pharmaceuticals;41L;19,50%;0,5;14,90%;4444,9;51,10%;78;5,20%;22,10%;26,90%;16,00%;20,60%;4,00%;4,60%;71%;6%;18;5;5;79;79;EUR;EUR;2,36;29,30%;16,50%;75,04
LGCY;Legacy Education Inc;20,6;Industrials;USA;Education;LGCY;18,00%;0,6;6,40%;171,6;107,50%;88;19,40%;26,90%;27,50%;6,30%;6,80%;0,50%;5,90%;137%;6%;12;5;5;13,78;13,78;USD;USD;0,67;30,00%;12,00%;19,27
MGY;Magnolia Oil & Gas Corp;17;Energy;USA;Oil & Gas -Exploration;MGY;16,80%;0,5;30,40%;5454,2;26,30%;81;14,00%;22,10%;23,00%;7,10%;7,90%;0,80%;2,70%;54%;1%;14;4;5;29,39;29,39;USD;USD;1,73;28,50%;17,50%;34,88
