Ticker,Company,Performance 1y (%),Performance 1m (%),Gross Margin (%),EPS Growth 5y (%),ROIC (%),Dividend Yield (%)
FISV,Fiserv Inc,-71,"8,5","59,4",,,
PANW,Palo Alto Networks,"-3,8","-0,3","73,5",,,
PAYC,Paycom Software Inc,"-42,8","1,7","83,2",,,
ZBH,Zimmer Biomet Holdings,"-2,6","1,6","69,7",,,
ZS,Zscaler Inc,"-34,4","-12,6","76,5",,,
ADYEN,Adyen NV,"-33,8","7,1","88,8",,,
EPAM,EPAM Systems Inc,"-16,3","-7,5","28,8",,,
