Company;Info - Ticker;Info - Sector;Info - Industry;Market Cap - Current;P/E - Current;Current r. - Current;Debt-Equity - Current;FCF margin - Average 3y;ROA - Average 5y;MA - MA 50d;MA - MA 200d;Info - Report;F-Score - Point;FS & G & Div. - Point;Earnings - Stable 5y;Dividend - Stable 5y;Div. Yield - Current;OP Cash F. - Stable 5y;Price / MA - MA 200d;Revenue g. - Growth 5y;RSI - RSI(14);Performance - Perform. 1y;Div. Payout - Average 3y;Performance - Perform. 6m;Stock price - Current;Info - Price Currency;Info - Report Currency;Earnings/share - Current;ROIC - Average 5y;Earnings g. - Growth 5y;Fair value;
Omnicom Group Inc;OMC;Consumer Durables;Advertising;23501;-278,0;0,9;3,4;11,8%;3,9%;77,77;76,09;Q4-2025;3;11;5;5;3,9%;5;-1,4%;5,6%;40,6;-7,9%;-332%;0,1%;75,06;USD;USD;-0,27;14,6%;-157,3%;100,00;
Palo Alto Networks Inc;PANW;Technology;IT Services;111050;87,1;1,0;1,7;37,4%;4,7%;168,28;189,48;Q2-2026;6;11;3;;;5;-14,0%;18,4%;48,9;-13,1%;;-21,7%;162,95;USD;USD;1,87;-5,9%;33,0%;183,58;
Paycom Software Inc;PAYC;Technology;IT Services;6638;14,6;1,1;3,4;18,2%;7,2%;132,51;185,32;Q4-2025;4;15;5;2;1,3%;5;-35,8%;19,5%;37,5;-45,5%;18%;-45,3%;118,96;USD;USD;8,13;25,5%;26,7%;202,29;
Prosus NV;PRX;Consumer Durables;Retailers;91822;7,9;3,7;0,4;24,8%;17,3%;46,40;52,01;Q2-2026;7;22;5;5;0,2%;3;-23,1%;5,9%;33,0;-12,0%;2%;-29,7%;40,02;EUR;USD;5,81;26,1%;22,5%;90,25;
Qualcomm Inc;QCOM;Technology;Semiconductors;141071;26,0;2,5;1,3;28,8%;16,1%;145,81;159,82;Q1-2026;6;18;5;5;2,7%;5;-18,7%;6,0%;31,9;-17,9%;59%;-22,1%;129,90;USD;USD;5,00;26,8%;-8,9%;124,70;
Rheinmetall AG;RHM;Industrials;Military & Defense;68109;66,2;1,2;2,2;10,6%;5,4%;1701,41;1721,79;Q4-2025;6;19;5;5;0,5%;5;-12,6%;12,9%;37,3;9,4%;34%;-21,9%;1505,50;EUR;EUR;22,73;13,0%;30,8%;384,56;
Rolls-Royce Holdings PLC;RR.;Industrials;Military & Defense;97193;16,6;1,2;13,0;14,3%;5,3%;12,69;11,25;Q4-2025;7;15;3;;0,9%;3;2,7%;12,4%;35,9;41,5%;5%;0,4%;11,55;GBP;GBP;0,69;15,0%;27,1%;8,68;
S&P Global Inc;SPGI;Industrials;Information Services;129366;28,9;0,8;0,8;34,4%;8,7%;465,74;502,84;Q4-2025;7;19;5;5;0,9%;5;-15,6%;15,6%;41,6;-14,3%;33%;-16,3%;424,43;USD;USD;14,67;18,2%;8,6%;385,64;
Saab;SAAB B;Industrials;Military & Defense;347004;54,3;1,3;1,9;1,9%;3,9%;672,00;555,14;Q4-2025;7;17;5;5;0,4%;5;15,0%;17,4%;42,8;68,0%;24%;19,5%;638,60;SEK;SEK;11,77;7,5%;42,3%;419,07;
Taiwan Semiconductor;TSM;Technology;Semiconductors;1707324;31,3;2,6;0,5;23,0%;18,1%;347,34;285,21;Q4-2025;;;5;5;0,9%;5;15,4%;23,3%;39,9;89,5%;32%;24,3%;329,24;USD;TWD;331,30;39,0%;27,1%;4 710,52;
The Scotts Miracle Gro Co;SMG;Food and Beverage;Farming;3596;21,9;1,3;-7,1;11,7%;-2,4%;65,23;61,35;Q1-2026;6;13;2;5;4,2%;4;1,5%;-7,1%;41,8;3,9%;-78%;7,3%;62,27;USD;USD;2,84;-2,9%;-21,1%;108,44;
TORM;TRMD A;Energy;Oil & Gas -Transportation;17193;9,1;1,3;0,5;26,4%;13,7%;163,70;139,07;Q4-2025;5;16;4;4;8,3%;5;21,2%;12,8%;49,3;32,2%;62%;19,8%;168,50;DKK;USD;2,92;16,8%;19,6%;227,93;
Universal Health Services Inc;UHS;Health Care;Healthcare Facilities;11815;7,9;1,1;1,1;5,2%;7,0%;207,33;200,56;Q4-2025;8;21;5;5;0,4%;5;-7,4%;8,5%;30,9;4,3%;5%;-1,5%;185,82;USD;USD;23,42;8,5%;16,2%;283,04;
Zimmer Biomet Holdings Inc;ZBH;Health Care;Medical Equipment;17398;24,7;2,0;0,8;16,1%;3,1%;92,18;95,23;Q4-2025;5;15;4;5;1,1%;5;-7,7%;3,2%;33,6;-22,2%;23%;-12,2%;87,87;USD;USD;3,56;3,6%;48,9%;107,36;
Zscaler Inc;ZS;Technology;IT Services;23844;-352,3;1,9;2,1;27,8%;-4,5%;178,78;257,86;Q2-2026;3;7;;;;5;-41,3%;34,8%;40,4;-25,7%;;-48,5%;151,47;USD;USD;-0,43;-8,7%;12,2%;260,00;
Greggs PLC;GRG;Consumer Durables;1531;Restaurants & Cafés;12,5;0,6;1,4;4,0%;11,6%;16,21;16,48;Q4-2025;4;15;4;4;4,6%;5;-8,8%;21,5%;31,9;-16,6%;48%;-2,1%;15,03;GBP;GBP;1,20;19,4%;62,4%;35,40;
