Company;Info - Ticker;Info - Country;Info - Sector;Info - Industry;Debt-Equity - Current;Profit marg - Current;P/E - Current;Market Cap - Current USD;Canslim - 0-100;P/E - Current;Market Cap - Current SEK;Performance - Perform. 1m;Performance - Perform. 1y;Stock price - Current;Info - Price Currency;Info - Report Currency;Earnings/share - Average 5y;ROIC - Average 3y;FCF growth - Growth 5y;Earnings g. - Growth 3y;Fair value
Eco Animal Health Group PLC;LWA;Germany;Health Care;Pharmaceuticals;0,2;3,50%;19,8;75,1;64;19,8;765,1;-11,40%;61,60%;1,01;EUR;GBP;0,02;2,50%;-25,80%;44,00%;4,49
eGain Corp;EGAN;USA;Technology;IT Services;0,7;39,80%;6,1;214,2;68;6,1;2188,8;-16,00%;61,90%;7,82;USD;USD;0,54;102,50%;8,00%;164,10%;7,09
EverQuote Inc;EVER;USA;Technology;Online Services;0,4;14,30%;5,5;548,6;52;5,5;5606,9;-5,00%;-42,80%;15,18;USD;USD;0,14;38,70%;37,00%;77,30%;17,28
Exelixis Inc;EXEL;USA;Health Care;Biotechnology;0,3;33,70%;15,2;11916,4;53;15,2;121785,2;6,90%;20,60%;43,88;USD;USD;1,33;35,50%;40,00%;71,60%;61,76
Flotek Industries Inc;FTK;USA;Energy;Oil & Gas - Services;0,9;14,50%;16,3;517,5;67;16,3;5288,7;1,30%;93,90%;16,02;USD;USD;0,01;18,00%;13,80%;31,80%;12,21
Freshpet Inc;FRPT;USA;Food and Beverage;Food Processing;0,5;12,60%;20,8;2898,7;61;20,8;29624,9;-29,60%;-29,70%;59,4;USD;USD;0,23;3,50%;18,70%;61,50%;98,59
Friedrich Vorwerk Group SE;VH2;Germany;Industrials;Construction & Infrastructure;0,8;10,70%;18,5;1441;44;18,5;14672;-17,30%;23,80%;65,5;EUR;EUR;1,61;26,10%;17,90%;60,30%;61,28
Glenveagh Properties PLC;GVR;Germany;Industrials;Homebuilding;0,7;11,80%;8,9;1235,2;46;8,9;12576,8;-11,90%;31,70%;1,97;EUR;EUR;0,12;9,80%;236,60%;42,70%;3,68
Globus Medical Inc;GMED;USA;Health Care;Medical Equipment;0,2;18,30%;22,1;11888,1;64;22,1;121496,4;-6,30%;19,80%;87,92;USD;USD;1,84;6,20%;22,20%;28,20%;72,87
Gorman-Rupp Co;GRC;USA;Industrials;Industrial Machinery;1,1;7,80%;30,9;1643,5;60;30,9;16796,2;-4,30%;73,90%;62,5;USD;USD;1,29;5,80%;17,20%;67,50%;41,9
Guidewire Software Inc;GWRE;USA;Technology;IT Services;0,7;7,20%;138,3;12700;41;138,3;129793,6;1,20%;-20,90%;150,79;USD;USD;0,01;4,20%;-153,50%;41,00%;119,1
Harju Elekter Group;HD8;Germany;Industrials;Electrical Components;0,7;6,20%;10;118,1;68;10;1202,5;0,00%;31,20%;5,8;EUR;EUR;0,17;5,70%;16,90%;57,00%;11,26
HealthEquity Inc;HQY;USA;Health Care;Medical Supplies;0,6;14,90%;38,1;7321,1;73;38,1;74821,8;8,60%;-2,70%;84,67;USD;USD;0,63;3,90%;33,90%;109,20%;74,1
IES Holdings Inc;IESC;USA;Industrials;Construction & Infrastructure;0,7;9,80%;28,3;9597,7;64;28,3;98089;-4,00%;185,70%;482,5;USD;USD;9,66;40,90%;23,10%;55,00%;391,92
Incyte Corp;INCY;USA;Health Care;Biotechnology;0,3;25,00%;14,6;18725,9;61;14,6;191378,9;-4,10%;57,50%;95,93;USD;USD;3,05;34,30%;60,50%;62,70%;145,51
Indivior Pharmaceuticals Inc;INDV;USA;Health Care;Pharmaceuticals;-13,1;16,90%;18,1;3808,8;99;18,1;38925,4;-4,70%;224,80%;30,47;USD;USD;0,38;8,50%;25,20%;93,50%;28,32
Infracom;INFRA;Sweden;Telecom;Telecom Services;0,6;19,70%;5,2;83,7;49;5,2;836,9;-4,40%;19,30%;24,1;SEK;SEK;2,52;16,50%;30,60%;40,30%;61,58
InfuSystems Holdings Inc;INFU;USA;Health Care;Medical Equipment;0,8;4,60%;29;191,9;85;29;1961,3;0,00%;73,30%;9,29;USD;USD;0,11;4,10%;27,20%;608,40%;7,39
Innovative Solutions & Support;ISSC;USA;Industrials;Military & Defense;0,6;21,00%;21;396,8;90;21;4054,9;-18,30%;250,80%;22,52;USD;USD;0,61;17,00%;33,20%;45,10%;23,47
Integrated Wind;IWS;Norway;Utilities;Wind Energy;1;15,70%;11,8;232,9;50;11,8;2399,3;-9,50%;43,20%;58,3;NOK;EUR;0,06;1,80%;-600,20%;82,40%;142,16
Jensen-Group NV;JEN;Belgium;Industrials;Industrial Machinery;0,7;10,60%;12,1;690,3;56;12,1;7028,4;-0,60%;38,20%;66,2;EUR;EUR;3,44;14,70%;17,20%;37,40%;93,79
Kendrion NV;KENDR;Netherlands;Industrials;Industrial Machinery;0,8;7,90%;19,4;291,3;67;19,4;2966,3;5,90%;56,60%;16,88;EUR;EUR;0,01;3,60%;0,20%;31,60%;14,13
Kirby Corp;KEX;USA;Industrials;Marine & Sea;0,8;10,50%;21,3;7569,9;69;21,3;77364,7;2,20%;33,80%;135,92;USD;USD;2,6;5,60%;3,60%;46,20%;115,13
Koninklijke Vopak NV;VPK5;Germany;Energy;Oil & Gas -Transportation;1;46,50%;9,2;6108,6;86;9,2;62196,9;4,20%;20,00%;48,1;EUR;EUR;2,47;8,00%;155,60%;80,70%;86,37
LandBridge Co LLC;LB;USA;Energy;Oil & Gas - Services;0,7;15,10%;58,7;1718;81;58,7;17557,9;-6,40%;-4,70%;69,23;USD;USD;0,01;10,30%;;67,40%;50,54
LeMaitre Vascular Inc;LMAT;USA;Health Care;Medical Equipment;0,6;23,10%;42,5;2456;48;42,5;25100,3;1,00%;27,40%;108,49;USD;USD;1,62;20,10%;17,10%;39,50%;64,7
Life360 Inc;LIF;USA;Technology;IT Services;0,8;30,80%;20,7;3123,3;56;20,7;31919,8;-24,80%;5,30%;40,43;USD;USD;0,01;7,70%;119,80%;49,30%;49,72
Ligand Pharmaceuticals Inc;LGND;USA;Health Care;Biotechnology;0,5;46,40%;31;3859,7;97;31;39445,8;-1,50%;90,40%;199,59;USD;USD;2,72;8,10%;-7,20%;183,50%;163,52
LiveRamp Holdings Inc;RAMP;USA;Technology;IT Services;0,3;8,60%;25,6;1765,4;57;25,6;18042,2;-2,90%;2,10%;27,16;USD;USD;0,01;4,30%;28,90%;36,90%;29,86
Loar Holdings Inc;LOAR;USA;Industrials;Military & Defense;0,7;14,50%;74,1;5338,8;70;74,1;54562,3;-21,10%;-20,00%;57,04;USD;USD;0,01;1,70%;;196,20%;28,98
Magellan Aerospace Corp;4M7A;Germany;Industrials;Military & Defense;0,4;4,40%;28,3;863,9;70;28,3;8795,8;-11,60%;67,10%;13,7;EUR;CAD;0,23;3,50%;-1,40%;59,80%;17,82
Marvell Technology Inc;MRVL;USA;Technology;Semiconductors;0,5;31,70%;37,3;92350,2;100;37,3;943819,4;32,50%;70,90%;107,11;USD;USD;0,01;1,70%;37,80%;157,70%;100,04
MBB SE;MBB;Germany;Industrials;Industrial Components;0,5;4,60%;17,2;1022,1;64;17,2;10407;-15,90%;20,60%;173,2;EUR;EUR;3,84;7,40%;7,70%;70,80%;134,97
Micron Technology Inc;MU;USA;Technology;Semiconductors;0,5;28,10%;34,5;410005,7;96;34,5;4190258,3;-11,30%;312,90%;366,24;USD;USD;4,29;11,40%;20,60%;58,60%;177,51
Navigator Holdings Ltd;NVGS;USA;Energy;Oil & Gas -Transportation;0,8;17,90%;13,2;1361,2;70;13,2;13911,1;-6,30%;51,00%;19,92;USD;USD;0,81;4,90%;-12,10%;29,80%;30,67
NVIDIA Corp;NVDA;USA;Technology;Semiconductors;0,3;55,60%;36;4321043;80;36;44161060;-2,80%;61,00%;177,39;USD;USD;1,94;118,00%;84,10%;201,40%;158,71
Odfjell Drilling;ODL;Norway;Energy;Oil & Gas -Drilling;0,9;19,20%;13,9;2431,6;79;13,9;25045,9;-4,30%;74,50%;101,4;NOK;USD;0,51;7,60%;-198,30%;31,10%;64,41
Omer-Decugis & Cie;ALODC;France;Food and Beverage;Food Retail;1,2;2,20%;12,2;84,3;88;12,2;858,6;-9,00%;108,90%;8,92;EUR;EUR;0,21;8,50%;19,20%;93,20%;13,75
Optima Health PLC;OPT;UK;Health Care;Medical Supplies;0,3;3,10%;15,3;210,8;100;15,3;2161,7;26,40%;29,70%;1,83;GBP;GBP;0,03;0,60%;;88,60%;1,64
Palantir Technologies Inc;PLTR;USA;Technology;IT Services;0,2;36,30%;215,2;351792,6;76;215,2;3595320,3;2,30%;75,30%;148,46;USD;USD;0,11;301,40%;50,10%;80,00%;11,82
